2023-08-01 21:12:48.754 [info] Added views:workbench.panel.markers.view in workbench.panel.markers
2023-08-01 21:12:48.754 [info] Added views:workbench.panel.output in workbench.panel.output
2023-08-01 21:12:48.754 [info] Added views:terminal in terminal
2023-08-01 21:12:48.754 [info] Added views:outline in workbench.view.explorer
2023-08-01 21:12:48.754 [info] Added views:workbench.scm in workbench.view.scm
2023-08-01 21:12:48.754 [info] Added views:workbench.view.search in workbench.view.search
2023-08-01 21:12:48.754 [info] Added views:timeline in workbench.view.explorer
2023-08-01 21:12:48.754 [info] Added views:workbench.explorer.emptyView in workbench.view.explorer
2023-08-01 21:12:48.941 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-08-01 21:12:49.289 [info] Added views:workbench.panel.repl.view in workbench.panel.repl
2023-08-01 21:13:52.500 [info] Added views:workbench.debug.breakPointsView in workbench.view.debug
2023-08-01 21:13:52.581 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-08-01 21:13:52.582 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2023-08-01 21:13:56.130 [info] Added views:workbench.debug.loadedScriptsView in workbench.view.debug
2023-08-01 21:13:56.753 [info] Removed views:workbench.debug.loadedScriptsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-08-01 21:13:56.764 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-08-01 21:13:56.772 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-08-01 21:13:56.815 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.loadedScriptsView in workbench.view.debug
2023-08-01 21:13:56.878 [info] Removed views:workbench.debug.loadedScriptsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-08-01 21:13:56.890 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-08-01 21:14:26.657 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-08-01 21:14:26.700 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.loadedScriptsView in workbench.view.debug
2023-08-01 21:14:27.202 [info] Removed views:workbench.debug.loadedScriptsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-08-01 21:14:27.211 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-08-01 21:16:15.786 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-08-01 21:16:15.834 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.loadedScriptsView in workbench.view.debug
2023-08-01 21:16:16.338 [info] Removed views:workbench.debug.loadedScriptsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-08-01 21:16:16.347 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-08-01 21:16:16.353 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-08-01 21:16:16.393 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.loadedScriptsView in workbench.view.debug
2023-08-01 21:16:16.436 [info] Removed views:workbench.debug.loadedScriptsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-08-01 21:16:16.447 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-08-01 21:20:14.516 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-08-01 21:20:14.580 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.loadedScriptsView in workbench.view.debug
2023-08-01 21:20:15.086 [info] Removed views:workbench.debug.loadedScriptsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-08-01 21:20:15.095 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-08-01 21:20:31.790 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-08-01 21:20:31.833 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.loadedScriptsView in workbench.view.debug
2023-08-01 21:20:32.317 [info] Removed views:workbench.debug.loadedScriptsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-08-01 21:20:32.329 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-08-01 21:20:32.339 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-08-01 21:20:32.374 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.loadedScriptsView in workbench.view.debug
2023-08-01 21:20:32.408 [info] Removed views:workbench.debug.loadedScriptsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-08-01 21:20:32.419 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-08-01 21:21:41.954 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-08-01 21:21:41.995 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.loadedScriptsView in workbench.view.debug
2023-08-01 21:21:43.015 [info] Removed views:workbench.debug.loadedScriptsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-08-01 21:21:43.025 [info] Added views:workbench.debug.welcome in workbench.view.debug
